LIQUIDITY_POOL_ADDRESS,MINT,TOTAL_ADDED_LIQUIDITY,TOTAL_REMOVED_LIQUIDITY,NUM_LIQUIDITY_ADDS,NUM_LIQUIDITY_REMOVES,ADD_TO_REMOVE_RATIO,LAST_POOL_ACTIVITY_TIMESTAMP,FIRST_POOL_ACTIVITY_TIMESTAMP,LAST_SWAP_TIMESTAMP,LAST_SWAP_TX_ID,INACTIVITY_STATUS
FEiWZLDDFthHtFHhavYwdmF8RThgTNt8vzBqAwV4hTar,CASHVDm2wsJXfhj6VWxb7GiMdoLc17Du7paH4bNr5woT,3400690.899427,1790059.704866,365,119,1.899763952,2021-12-30 22:45:32.000,2021-12-09 19:35:07.000,2021-12-30 23:37:21.000,GuAMQ1odJxT88BKFRRywmmxd8UivMAMx3xrHYiRkUckPWxnm2Ga9aWHFsjC12VxSxU67NzE152MY6bn9AHjVfR2,Active
FEiKCCNftXbfmTfSaoVV2baXAnfTQRP8RrkUMEnxrYnK,BAexggGFsiLCKr17cSZF12wkHd8BkR1DBhzuSb78WTR2,756971.310305041,100722.458851553,82,18,7.515417305,2021-12-30 05:59:37.000,2021-12-09 19:32:20.000,2021-12-30 23:57:02.000,5G2nfFEjPbS5K8RbhoHvGVSrrfXgE4yrcwAwcKxeEnU8KbsJfEv7M3843RNbrz3MHxWMgoFNH2w7RwfvATg1ZZ5y,Active
FEiKCCNftXbfmTfSaoVV2baXAnfTQRP8RrkUMEnxrYnK,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,2286516.872863,1402352.231589,227,93,1.63048685,2021-12-30 23:14:04.000,2021-12-09 19:32:20.000,2021-12-30 23:52:16.000,3siW7MShRBjW4AU5fbakBo1RdLMyneHRhK2aZb8iBGDTw9xq7LYAJ4gLEpvMoFbjfRZthYoz9kK5fiJVfBLitNdA,Active
HD6pqxyqj4S7eS3orAyQyan5RpwpMPjKEDWgTyYXcfr1,FNFKRV3V8DtA3gVJN6UshMiLGYA8izxFwkNWmJbFjmRj,3074555.876536,10434.559962,34,14,294.651225134,2021-12-22 22:24:17.000,2021-12-09 10:26:48.000,2021-12-30 23:59:33.000,61CrmZX8evjashFHffMhQEPBfzUShP2T5nZotLttPudQVWuaF8kKVsQxypFrbGjdQEgJ5xEvpZKyJnvpoEmBhsG1,Active
HD6pqxyqj4S7eS3orAyQyan5RpwpMPjKEDWgTyYXcfr1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,602555.142344,1948.206354,34,14,309.287125107,2021-12-22 22:24:17.000,2021-12-09 10:26:48.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
MiMuMS9C4vBqcrYeeQPph1E7oAW9aNKvW9k6Zw9XffM,2ASbApnFVSTp2RJvMLgLVfbDwJvu1FRXdhJWrGs89Lhj,900258.726537653,367719.015234338,152,36,2.448224566,2021-12-30 21:11:47.000,2021-12-08 23:01:34.000,2021-12-30 23:55:07.000,2tc83yKBK694ZQp3Qq4DiDtno7UeuK4VeuoxousKKPT9qsv1XBbwzhzU8qD5xcZTU8Fgc5yDLiryZ21VGwxjCERC,Active
MiMuMS9C4vBqcrYeeQPph1E7oAW9aNKvW9k6Zw9XffM,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,3025066.777402,1791496.046185,347,119,1.688570167,2021-12-30 23:13:30.000,2021-12-08 21:52:51.000,2021-12-30 23:52:16.000,3siW7MShRBjW4AU5fbakBo1RdLMyneHRhK2aZb8iBGDTw9xq7LYAJ4gLEpvMoFbjfRZthYoz9kK5fiJVfBLitNdA,Active
MiMx8GQKM5CaDTCKcuK9VeTdrpEvPKR4ScyhSe4kYv1,CASHVDm2wsJXfhj6VWxb7GiMdoLc17Du7paH4bNr5woT,4453427.87842,2688413.980292,388,97,1.656526082,2021-12-30 21:55:49.000,2021-12-08 21:50:27.000,2021-12-30 23:37:21.000,GuAMQ1odJxT88BKFRRywmmxd8UivMAMx3xrHYiRkUckPWxnm2Ga9aWHFsjC12VxSxU67NzE152MY6bn9AHjVfR2,Active
MiMx8GQKM5CaDTCKcuK9VeTdrpEvPKR4ScyhSe4kYv1,2ASbApnFVSTp2RJvMLgLVfbDwJvu1FRXdhJWrGs89Lhj,830095.442486028,553422.055229829,94,31,1.499931986,2021-12-30 21:55:49.000,2021-12-08 20:40:43.000,2021-12-30 23:55:07.000,2tc83yKBK694ZQp3Qq4DiDtno7UeuK4VeuoxousKKPT9qsv1XBbwzhzU8qD5xcZTU8Fgc5yDLiryZ21VGwxjCERC,Active
7JrbaznhHUFu1poH94vzRyexB83X5DNUsHcg1HB4FZmL,6j14WyX1Ag2pLWvn99euK4xp2VcZD62VeJv2iwCrYmT8,27443733.7223638,95228115.191902,10,22,0.2881894036,2021-12-17 14:12:27.000,2021-12-08 12:18:12.000,2021-12-30 22:15:17.000,24vnpzuFWkb2vB9n5Jr7dJXjcnC21Fyrx8gKd9DqtuMWPngA2fQyt5NCgvCsMiL6pSoM8Y9hnm2K8YKXV7djJRnn,Active
7JrbaznhHUFu1poH94vzRyexB83X5DNUsHcg1HB4FZmL,So11111111111111111111111111111111111111112,2.591205674,10.635305608,10,22,0.2436418632,2021-12-17 14:12:27.000,2021-12-08 12:18:12.000,2021-12-30 23:59:55.000,25WYgLnmo5ej6rUKtsNSipMZhgiwpjSLiA9UBjDQf9mcddMAFfY3Tv3tCZZqgqKnqWYM7si89x8SR456dGu4552v,Active
FUUhzMivovr45yXFe2JdiKnqT9YQaX2Sr8iHZfCPCdRn,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4.110314,4116.81056,2,2,0.0009984219434,2021-12-09 11:28:45.000,2021-12-08 11:59:38.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
FUUhzMivovr45yXFe2JdiKnqT9YQaX2Sr8iHZfCPCdRn,5K1JtWpdSksVKaL6R2DuLpCDAjzxK6sq2CpXaXDWHVLg,1200000,1566718943.87287,2,2,0.0007659318889,2021-12-09 11:28:45.000,2021-12-08 11:59:38.000,2021-12-30 20:53:34.000,3ThNwQKgZ8vL5qgcgcfjwXp1dCxrn7EaZ3tv8yTMUvJgiVmmoecFCXPYDaLCvpxGkDKz4HH1VDLJDHkLpRMC8494,Active
4ELBQuq3ivhLamfCT36As5sXLkQDWRJw1pJ9JVFLp6gK,CRWNYkqdgvhGGae9CKfNka58j6QQkaD5bLhKXvUYqnc1,38940724.06724,25073712.591006,8870,946,1.55304979,2021-12-30 23:59:42.000,2021-12-08 09:00:39.000,2021-12-30 23:59:33.000,5SrzUEE97o8LqPrADPtV9GN2eDEpgnom6kFzb3TwmoLTeXXETsRwQkS4M9tn5TEGp3gii92eLWZhC5zUHYKyhBq7,Active
4ELBQuq3ivhLamfCT36As5sXLkQDWRJw1pJ9JVFLp6gK,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1202344.895472,563626.904922,8870,946,2.133228355,2021-12-30 23:59:42.000,2021-12-08 09:00:39.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
HARRXESCwid3xMi2qThag1PXzmp6rDhAzMR9THhFRQGf,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,96067.084726,43382.241716,9374,834,2.214433393,2021-12-30 23:59:42.000,2021-12-08 09:00:25.000,2021-12-30 23:59:52.000,okB6iW4y6AhpcKFQrfntZL9WHgoXmJNeRd6dpnQR54sntgPVtHn4Y4mXjZQLFuKMNwvLx2kkD3WGQz1rwBsZiDo,Active
HARRXESCwid3xMi2qThag1PXzmp6rDhAzMR9THhFRQGf,CRWNYkqdgvhGGae9CKfNka58j6QQkaD5bLhKXvUYqnc1,28421334.787838,17846450.623014,9374,834,1.59254831,2021-12-30 23:59:42.000,2021-12-08 09:00:25.000,2021-12-30 23:59:33.000,5SrzUEE97o8LqPrADPtV9GN2eDEpgnom6kFzb3TwmoLTeXXETsRwQkS4M9tn5TEGp3gii92eLWZhC5zUHYKyhBq7,Active
DpsgPrkujaDCi5CtziXgH9rfFNx6Yqs2igY1oAVen5E2,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,424.119674,316.339026,2,2,1.340712461,2021-12-08 09:56:53.000,2021-12-08 06:21:21.000,2021-12-30 23:59:51.000,2kv8H9AAxXfjpG1drweF2wrzzLixJDFSChRzmWtFKSWmJUFvTyNscQQ4xh3y9xCfJ6Bqu5CKdTPPDYJqzm921Wwi,Active
DpsgPrkujaDCi5CtziXgH9rfFNx6Yqs2igY1oAVen5E2,DM8WStrzE7XHLr5EeuE8693VAqAx3MiTcAqfH6WcsSSC,20000,24225.124661038,2,2,0.8255891468,2021-12-08 09:56:53.000,2021-12-08 06:21:21.000,2021-12-09 07:50:05.000,2bsky4oS47xL6vDn3WAXvwKXG3Moh6msmXcuf5FEAYbXzwNG3DViURhXbwk2Cdoif2aJYTnzzhNSjYFm43HAqSoD,Inactive
2ZSXjTj5FzMWk53yncX5pHBxacukwutxCL6BDj36T846,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,1387.080736,1121.547598,20,22,1.236756013,2021-12-23 02:05:26.000,2021-12-08 06:06:34.000,2021-12-30 23:59:51.000,2kv8H9AAxXfjpG1drweF2wrzzLixJDFSChRzmWtFKSWmJUFvTyNscQQ4xh3y9xCfJ6Bqu5CKdTPPDYJqzm921Wwi,Active
2ZSXjTj5FzMWk53yncX5pHBxacukwutxCL6BDj36T846,So11111111111111111111111111111111111111112,5.086054326,5.832124234,20,22,0.8720757861,2021-12-23 02:05:26.000,2021-12-08 06:06:34.000,2021-12-30 23:59:55.000,25WYgLnmo5ej6rUKtsNSipMZhgiwpjSLiA9UBjDQf9mcddMAFfY3Tv3tCZZqgqKnqWYM7si89x8SR456dGu4552v,Active
4McViNZyEBBRYad61iz5TMAahLDUzkuoUrWPWCSpHZSx,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6273.917964,29.508086,12,6,212.616906566,2021-12-15 15:10:09.000,2021-12-08 05:15:53.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
4McViNZyEBBRYad61iz5TMAahLDUzkuoUrWPWCSpHZSx,BABYsocP6cB95xvBDXnjXKX96VBNC37dmNWUtaV9Jk6v,174552317666.9,1553808597.4,12,6,112.338365201,2021-12-15 15:10:09.000,2021-12-08 05:15:53.000,2021-12-30 20:57:34.000,NqXipKUbpibZLYJAypysizzbHSpRpjGF5DieGWJ86cLpimf6ok8Uwh4osyv9RBCVPPDnyVGqEHfqbTGiteJS1Mk,Active
Gzq3HeipXNhYxonEzdaUNdAHjhdsWZCuLvLacSCKfUk9,4D2umdRkmjgsFj4Vf9foJGMkTjNQ41jXaGuAL3xb4dQj,2203.581336632,22075.11069261,6,6,0.09982198356,2021-12-28 20:41:45.000,2021-12-07 20:46:35.000,2021-12-11 10:31:13.000,5FdWFEVHiodKknKGCq5vs1rArgu3qBYjLy717cW7CXjWDmMdSatqgMnbvzo8mT73FxTf849fWF8Npvu2zQyUxiHc,Active
Gzq3HeipXNhYxonEzdaUNdAHjhdsWZCuLvLacSCKfUk9,So11111111111111111111111111111111111111112,0.42723441,2.41512075,6,6,0.1768998134,2021-12-28 20:41:45.000,2021-12-07 20:46:35.000,2021-12-30 23:59:55.000,25WYgLnmo5ej6rUKtsNSipMZhgiwpjSLiA9UBjDQf9mcddMAFfY3Tv3tCZZqgqKnqWYM7si89x8SR456dGu4552v,Active
zuivKkgkNFFkV9jfNpsU1p5tWNbDWUEx5XX16m4k2Ej,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7563166.684222,5236346.382398,23092,4122,1.444359508,2021-12-30 23:59:42.000,2021-12-07 09:11:45.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
zuivKkgkNFFkV9jfNpsU1p5tWNbDWUEx5XX16m4k2Ej,6F9XriABHfWhit6zmMUYAQBSy6XK5VF1cHXuW5LDpRtC,61595729.1368331,40198361.8959808,23092,4122,1.532294507,2021-12-30 23:59:42.000,2021-12-07 09:11:45.000,2021-12-30 23:59:33.000,iofTXJ8XU5hj195gMkDd58eahht4caTxqkMV4mNBPDvEhXViaGmTSLc5D7gsFfaYYzR9cfohFa7N11864Arcw9x,Active
72VVN27ycPheVfPrJ75zk5AsEaXyHTkdUKym6aTQKZV6,EZF2sPJRe26e8iyXaCrmEefrGVBkqqNGv9UPGG9EnTQz,797360.693297808,7691.532611846,4,2,103.667335697,2021-12-13 13:01:23.000,2021-12-06 20:38:33.000,2021-12-30 23:10:23.000,3CncReRD9JDfiAUDFjYcx2R8h4riQ5ACn9kXqQT2e4ocRa9Z2z8sD5Ysw3KQhhSUpbDh8TL5cF6WJix7aKqS7vJw,Active
BptuzCV7Jwc8JrAzcn6uKtdujf8np9QPmKGgSZrsPoZU,GCxgQbbvJc4UyqGCsUAUa38npzZX27EMxZwckLuWeEkt,297016832.460402,83475374.9684444,14,4,3.558137146,2021-12-29 20:41:41.000,2021-12-06 06:44:13.000,2021-12-30 23:00:20.000,tJyLym5MdF3tafXrviThb9ShqYqTxEEqVMuQVydeSj69facUWrC9vW5yv9QAQuf4dZ7N5HaByQKSA2goNCeXmMv,Active
